DATE,Lot Code,Film Manufacturer,PO,Machine,Master Roll 1,Master Roll 2,Weight,Tested By,Lane,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,PressureAverage,PressureMIN,PressureMAX
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,3,428.0,818,830.0,,,,692.0,428,830
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,5,563.0,563,846.0,,,,657.33,563,846
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,6,957.0,754,1417.0,,,,1042.67,754,1417
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,7,1461.0,418,614.0,,,,831.0,418,1461
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,8,1107.0,1456,1424.0,,,,1329.0,1107,1456
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,9,707.0,821,756.0,,,,761.33,707,821
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,10,1312.0,1237,1409.0,,,,1319.33,1237,1409
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,11,961.0,1410,1146.0,,,,1172.33,961,1410
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,12,1339.0,1187,1436.0,,,,1320.67,1187,1436
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,4,603.0,1430,558.0,,,,863.67,558,1430
